total_medals,Country_code,Country,year,gdp_per_capita_growth,under5_mortality,physicians_per_1000,life_expec_under5,population,urban_population_pct,log_population,log_medals
0.0,ERI,Eritrea,2000,-4.61837133772084,85.3,0.045,56.285,2247031.0,34.0983619689941,14.625120347244975,0.0
1.0,ERI,Eritrea,2004,-2.6238903510386,70.5,0.055,60.063,2598284.0,34.9324645996094,14.770361785095831,0.6931471805599453
0.0,ERI,Eritrea,2008,-12.1248431632963,59.4,0.045,62.422,2816327.0,35.4897117614746,14.850944111677505,0.0
22.0,ESP,Spain,1992,0.436115155748553,8.3,4.126,77.41,39157685.0,75.1991108679216,17.483107257433787,3.1354942159291497
17.0,ESP,Spain,1996,2.18092390343854,6.5,2.724,78.1204878048781,39889852.0,75.6972244638181,17.501632513671648,2.8903717578961645
11.0,ESP,Spain,2000,4.73130032942612,5.4,3.101,78.9658536585366,40567864.0,76.1650552349602,17.518486784055394,2.4849066497880004
20.0,ESP,Spain,2004,1.35058688382759,4.9,3.419,79.8707317073171,42921895.0,76.9549627547133,17.574892626662635,3.044522437723423
18.0,ESP,Spain,2008,-0.827648476802253,4.2,3.523,81.1756097560976,45954106.0,78.0421438998777,17.643153760771607,2.9444389791664403
17.0,ESP,Spain,2012,-2.92815897770406,3.6,3.804,82.4268292682927,46773055.0,78.8455680301618,17.66081784721818,2.8903717578961645
17.0,ESP,Spain,2016,2.83577124069477,3.3,3.803,83.3292682926829,46458139.0,79.3615955277997,17.65406222854216,2.8903717578961645
2.0,EST,Estonia,1992,-19.7174331457865,17.3,3.249,68.8634146341464,1533091.0,70.5333354332329,14.242796516822766,1.0986122886681098
0.0,EST,Estonia,1996,6.50278220805234,14.8,3.107,69.6121951219512,1415594.0,68.4475740642067,14.163059788959016,0.0
3.0,EST,Estonia,2000,9.55642258870186,11.0,2.942,70.4170731707317,1396985.0,67.385529072627,14.149826900887252,1.3862943611198906
3.0,EST,Estonia,2004,7.44108988454812,7.8,3.023,71.909756097561,1362550.0,67.467351453949,14.124868502093916,1.3862943611198906
2.0,EST,Estonia,2008,-4.87057915292706,5.4,3.342,73.7707317073171,1337090.0,67.6696980194394,14.106006168702605,1.0986122886681098
2.0,EST,Estonia,2012,4.04377186018716,3.9,3.284,76.3268292682927,1322696.0,67.9629593320316,14.09518263589223,1.0986122886681098
1.0,EST,Estonia,2016,3.06301090349199,3.0,3.457,77.6414634146342,1315790.0,68.724038178078,14.089947803665954,0.6931471805599453
4.0,ETH,Ethiopia,1980,5.83727167777019,240.4,0.011,42.815,34428514.0,10.3746114737509,17.35439567434843,1.6094379124341003
3.0,ETH,Ethiopia,1996,8.77685691778561,165.8,0.025,48.697,59467635.0,14.102746963501,17.900942772941782,1.3862943611198906
8.0,ETH,Ethiopia,2000,2.86806618904541,140.4,0.021,50.88,67411494.0,14.9193096160889,18.026326095467873,2.1972245773362196
7.0,ETH,Ethiopia,2004,10.221815108184,115.0,0.026,53.735,76077206.0,15.7585906982422,18.147259251026522,2.0794415416798357
7.0,ETH,Ethiopia,2008,7.62786742867665,92.3,0.024,57.733,85543668.0,16.7936706542969,18.264537540367424,2.0794415416798357
